year,state,FIPS,county_name,perc_republican_votes,perc_democratic_votes,total_votes
2000,AK,02001,DISTRICT 1,0.7032752403846154,0.19290865384615385,6656
2000,AK,02002,DISTRICT 2,0.573226854358419,0.28167298321602596,7388
2000,AK,02003,DISTRICT 3,0.3811550151975684,0.4489969604863222,8225
2000,AK,02004,DISTRICT 4,0.527546976863096,0.3470535600153394,7823
2000,AK,02005,DISTRICT 5,0.5507223862047538,0.299984464812801,6437
2000,AK,02006,DISTRICT 6,0.6331147540983607,0.25278688524590165,6100
2000,AK,02007,DISTRICT 7,0.5610233951826669,0.21816295954823095,8677
2000,AK,02008,DISTRICT 8,0.6732263725244422,0.18776635748307846,7978
2000,AK,02009,DISTRICT 9,0.7042647058823529,0.17691176470588235,6800
2000,AK,02010,DISTRICT 10,0.6385637100405223,0.24696082845565062,8884
2000,AK,02011,DISTRICT 11,0.5673352435530086,0.2926934097421203,6980
2000,AK,02012,DISTRICT 12,0.6086041310353901,0.269832916721484,7601
2000,AK,02013,DISTRICT 13,0.48508120357547524,0.3350119602165429,7943
2000,AK,02014,DISTRICT 14,0.6390593047034765,0.2770961145194274,5868
2000,AK,02015,DISTRICT 15,0.4178875638841567,0.35877342419080066,5870
2000,AK,02016,DISTRICT 16,0.4226254002134472,0.42027748132337245,4685
2000,AK,02017,DISTRICT 17,0.5924195223260644,0.28946002076843197,7704
2000,AK,02018,DISTRICT 18,0.5485731633272617,0.277170613236187,9882
2000,AK,02019,DISTRICT 19,0.5809332159476795,0.2955603068796378,7951
2000,AK,02020,DISTRICT 20,0.5239121068504955,0.3244291253769927,6963
2000,AK,02021,DISTRICT 21,0.4922311057474732,0.3483179966812491,6629
2000,AK,02022,DISTRICT 22,0.5759530791788856,0.3115542521994135,8525
2000,AK,02023,DISTRICT 23,0.639524838012959,0.27688984881209505,4630
2000,AK,02024,DISTRICT 24,0.6396715097915351,0.25078963992419456,7915
2000,AK,02025,DISTRICT 25,0.6693086208998903,0.20692598463602,8201
2000,AK,02026,DISTRICT 26,0.6832363213038417,0.18719441210710128,8590
2000,AK,02027,DISTRICT 27,0.6432266717762023,0.21067254263268825,10438
2000,AK,02028,DISTRICT 28,0.6442934782608696,0.19166666666666668,11040
2000,AK,02029,DISTRICT 29,0.45948090218746457,0.31803241527825005,8823
2000,AK,02030,DISTRICT 30,0.5954298865691271,0.2791385829360513,6083
2000,AK,02031,DISTRICT 31,0.5575859178541492,0.30695725062866724,5965
2000,AK,02032,DISTRICT 32,0.6925244488645782,0.23023371456986574,6033
2000,AK,02033,DISTRICT 33,0.6662075298438935,0.2025941230486685,8712
2000,AK,02034,DISTRICT 34,0.7328767123287672,0.1817165222253285,7154
2000,AK,02035,DISTRICT 35,0.6703227828267001,0.1892823566280163,6382
2000,AK,02036,DISTRICT 36,0.5391787699480007,0.3487538102922718,5577
2000,AK,02037,DISTRICT 37,0.5419649960222752,0.36217183770883055,5028
2000,AK,02038,DISTRICT 38,0.4957797427652733,0.404943729903537,4976
2000,AK,02039,DISTRICT 39,0.447378565921357,0.43986121819583657,5188
2000,AK,02040,DISTRICT 40,0.5675759454432734,0.3174209547427154,3226
2000,AL,01001,AUTAUGA,0.6969432821943282,0.2871920037192004,17208
2000,AL,01003,BALDWIN,0.7236543909348442,0.24782223796033995,56480
2000,AL,01005,BARBOUR,0.49023569023569025,0.4990860990860991,10395
2000,AL,01007,BIBB,0.6017462329249401,0.381636389240952,7101
2000,AL,01009,BLOUNT,0.704779391309186,0.2769153730595894,17973
2000,AL,01011,BULLOCK,0.29221044045676997,0.6922920065252854,4904
2000,AL,01013,BUTLER,0.5288991413558888,0.46212995001922336,7803
2000,AL,01015,CALHOUN,0.5732863861831453,0.40558739623223417,38909
2000,AL,01017,CHAMBERS,0.5101402737873922,0.47456481324995775,11834
2000,AL,01019,CHEROKEE,0.5309983382334142,0.4470152115556692,7823
2000,AL,01021,CHILTON,0.6669758812615956,0.3184468592631858,15092
